Unnamed: 0;Аналитика;Код;Артикул;Количество;Себестоимость
102.0;GREEN APPLE Фонтан настольный Гном Лесник 31см 1891 GANF-03 780701;780701.0;lБ0043459;2;4540.72
103.0;GREEN APPLE Фонтан настольный Дачные истории высота 21см  GА-02206 685881;685881.0;lБ0032432;2;3088.55
104.0;GREEN APPLE Фонтан настольный с подсветкой Лягушки 2109  GAFN01-001 696732;696732.0;lБ0038778;2;1972.21
105.0;GREEN APPLE Фонтан настольный с подсветкой Птички 2 8157 GAFN01-400 696734;696734.0;lБ0038779;1;548.81
106.0;GREEN APPLE Фонтан натольный Гном Хозяин 31см 1877 GANF-02 780700;780700.0;lБ0043458; ;-807.53
107.0;Intro Plano роз. СУ 2 мест. 16А, 250В (керамика) белый, 1-204-01 2007 814774;814774.0;lБ0053904;20;1737.6
108.0;Intro Polo роз. 2 мест. 16А  ОУ, сл.кость 3-203-02, 3894 (замена  на код 814805) 710089;710089.0;lБ0036129;5;289.85
109.0;Intro Polo роз. 2 мест. земля 16А  ОУ, сл.кость 3-204-02, 3931 (замена на код 827186) 710092;710092.0;lБ0036131;10;725.09
110.0;Intro Quadro роз. ОУ 1 мест. 16A (земля, керамика) венге, 250В 2-202-10 0347 814830;814830.0;lБ0053787;10;947.23
111.0;Лампа люмин. Philips T8 G13 18W 6500 590x26 TL-D 6K 18W/54-765 ((25!) 1979;1979.0;928047305451;-4;-160.89
112.0;Philips стартер S10 4-65W 220-240V 11124;11124.0;928392220230;75;1809.64
113.0;Rivoli люстра 2081-306 Ebony 6хЕ14 40W 610х610х380 хром, серый 55618 838980;838980.0;lБ0055618;1;5688.2
114.0;Rivoli Люстра 4089-306 Maike 6xE14 40W 538x538x657 52486 884077;884077.0;lБ0052486;1;8398.6
115.0;Rivoli люстра Mitzi 4079-205 5хE27 40W золото 600х600х800 47919 840697;840697.0;lБ0047919;1;11893.19
116.0;Rivoli св-к настольный 7081-501 Ebony 1хЕ14 40W 220х220х410 , серый 55617 839008;839008.0;lБ0055617;2;4711.2
117.0;Rivoli торшер Aurelia D7041-501 1хE27 60W черный, бежевый 350х350х1505 54209 840844;840844.0;lБ0054209;1;2610.07
118.0;Rivoli торшер Bianca D7041-502 1хE27 60W черный, серый 250х250х1350 54210 840845;840845.0;lБ0054210;1;4184.73
119.0;Аккумулятор Kodak R6 2600mAh Ni-MH BL2 ЗАРЯЖ 485123;485123.0;lБ0012678;4;977.44
120.0;Аккумулятор Kodak R03 650mAh Ni-MH BL2 ЗАРЯЖ 680665;680665.0;lБ0009359;24;2138.57
121.0;Аккумулятор Трофи /R6 2500mAh Ni-MH BL2 182898;182898.0;lC0032101;6;1012.38
122.0;АРМИЯ РОССИИ фонарь налобный GA-501 Гранит (3WCOB + 3WLED(176lm) ближ и дальн свет, 800mAh акк) 1828 647715;647715.0;lБ0030185;1;298.9
123.0;АРМИЯ РОССИИ фонарь налобный Орион (450lm) 5W Li-ion акк., 5реж., магнит, 10ч раб., 50 м GA-502 7124 808642;808642.0;lБ0052317;10;10087.58
124.0;АРМИЯ РОССИИ фонарь-прожектор PA-702 шмель (10W(390lm) 450м, 7режимов, маяк, лит.акк 4000mAh, USB, p 687274;687274.0;lБ0033764;1;1928.6
125.0;З/у Kodak зарядное устройство для аккум. USB (4AA/AAA) C8002B(6/24/1200) 2382 812218;812218.0;lБ0047500;1;399.36
